Humedad (%),Cultivo,Elevación (m),Salinidad (dS/m),Temperatura (°C),Latitud,Longitud
34.3,Maíz,41.8,3.07,25.1,25.616337,-108.470516
18.4,Chile,33.3,1.97,29.5,25.522286,-108.480179
24,Chile,34.3,1.82,36.5,25.569703,-108.501312
19.2,Chile,22.9,4.1,27,25.579862,-108.510461
28.7,Tomate,18.8,0.7,38.3,25.536138,-108.45039
21.7,Maíz,39,1.27,33.3,25.611598,-108.492247
11.2,Maíz,43.8,2.97,28.6,25.604552,-108.517331
22.2,Maíz,45.7,0.77,35.8,25.561935,-108.519274
28.5,Maíz,33.9,3.6,26.8,25.555427,-108.42319
24.2,Chile,13.4,1.42,33.6,25.52675,-108.510972
41,Chile,32.7,3.17,29.6,25.612885,-108.484575
19.7,Tomate,44.5,3.27,38.5,25.611875,-108.508331
6.7,Chile,28.2,2.02,21.4,25.579335,-108.467927
20.2,Maíz,26.8,3.82,35.8,25.576945,-108.502777
28.3,Maíz,38.2,1.07,31.8,25.549215,-108.518659
37.3,Maíz,33.5,1.4,32,25.525269,-108.480884
21,Maíz,41.4,3.35,28.1,25.600618,-108.519701
42.8,Maíz,23.7,1.25,32.8,25.577411,-108.465669
34,Maíz,42.1,3.1,25.3,25.616337,-108.470516
18.7,Chile,33.6,2,29.7,25.522286,-108.480179
24.3,Chile,34.6,1.85,36.7,25.569703,-108.501312
19.5,Chile,23.2,4.13,27.2,25.579862,-108.510461
29,Tomate,19.1,0.73,38.5,25.536138,-108.45039
22,Maíz,39.3,1.3,33.5,25.611598,-108.492247
11.5,Maíz,44.1,3,28.8,25.604552,-108.517331
22.5,Maíz,46,0.8,36,25.561935,-108.519274
28.8,Maíz,34.2,3.63,27,25.555427,-108.42319
24.5,Chile,13.7,1.45,33.8,25.52675,-108.510972
41.3,Chile,33,3.2,29.8,25.612885,-108.484575
20,Tomate,44.8,3.3,38.7,25.611875,-108.508331
7,Chile,28.5,2.05,21.6,25.579335,-108.467927
20.5,Maíz,27.1,3.85,36,25.576945,-108.502777
28.6,Maíz,38.5,1.1,32,25.549215,-108.518659
